,PID,SPI,PDS,PID_kmeans
0,JE-CRC301-FO-090686,C301FE   150007,TT-25,2
1,JE-CRC301-LT-150013B,C301FT   150007,XV-506C,2
2,JE-CRC301-PSV-170490,C301FIC  150007,AE160551,4
3,JE-CRC301-PDG-040018,C301FV   150007,C301B999,2
4,JE-CRC301-PT-140042,C301PSV  060005,FI-DCS10,3
5,JE-CRC301-VE-160002E1,C301PSV  060006,T -DCS05,2
6,JE-CRC301-PDI-130096,C301FO   060011,PSV-740B,2
7,JE-CRC301-TI-120010,C301FO   060017,PG-617-D,2
8,JE-CRC301-TT-030123C,C301LT   060003,301MVF007,5
9,JE-CRC301-FT-040007,C301LI   060003A,AE-160008,2
10,JE-CRC301-LG-140034A,C301LI   060003B,C301P893A,2
11,JE-CRC301-PSE-080761A,C301LT   060004,TI-DCS002,2
12,JE-CRC301-LIC-160031,C301LI   060004A,PI-CDCS02,2
13,JE-CRC301-FE-080020,C301LI   060004B,LG 300809,6
14,JE-CRC301-UC-13002,C301PDT  060001,F160002-A,2
15,JE-CRC301-FZSO-030503,C301PDI  060001,AE 300802,2
16,JE-CRC301-M-030006B,C301PDT  060002,PDT-616-A,2
17,JE-CRC301-PIC-060014,C301PDI  060002,AE-130005C,2
18,JE-CRC301-FV-020024,C301LT   060001,C301T08649,2
19,JE-CRC301-PSV-030123C,C301LI   060001A,C301511001,4
20,JE-CRC301-PT-172024,C301LI   060001B,LT 300810C,3
21,JE-CRC301-UZ-14001,C301LT   060002,PG-974/IND,2
22,JE-CRC301-PG-173023,C301LI   060002A,SP0300-175,2
23,JE-CRC301-PT-070038,C301LI   060002B,WTHE081A/T,3
24,JE-CRC301-LIC-140020,C301PT   060036,301MVH0027,2
25,JE-CRC301-AT-020013,C301PI   060036A,PDG-090037,2
26,JE-CRC301-FY-172001,C301PI   060036B,LV-110573A,2
27,JE-CRC301-TE-090011,C301PT   060037,C301A200012,1
28,JE-CRC301-PSV-120109B,C301PI   060037A,C301P40629C,4
29,JE-CRC301-TT-030033,C301PI   060037B,FT-173-500C,5
30,JE-CRC301-TG-150033,C301XV   060008,301-MVA-706,2
31,JE-CRC301-TT-180032B,C301XY   060008A,FE-941/3OP1,5
32,JE-CRC301-TE-030103,C301XZSO 060008,FE-934/4CYL,1
33,JE-CRC301-M-020005B,C301XZLO 060008,FO 900/4CYL,2
34,JE-CRC301-HS-080022,C301XZSC 060008,SP0100-208/,2
35,JE-CRC301-THS-110013B,C301XZLC 060008,C301PT03101,2
36,JE-CRC301-UZ-13003,C301XV   060009,MF-Y090005D,2
37,JE-CRC301-PSV-172008E,C301XY   060009A,C301PDI0978,4
38,JE-CRC301-TT-177014,C301XZSO 060009,C301AE010102,5
39,JE-CRC301-TI-020001,C301XZLO 060009,C301AE10601C,2
40,JE-CRC301-TI-200040,C301XZSC 060009,C301P300926R,2
41,JE-CRC301-TI-030127,C301XZLC 060009,TE-010515A/B,2
42,JE-CRC301-LG-200013B,C301PA   060001,PT010607/IND,2
43,JE-CRC301-UC-13001,C301PSV  060011A,FO-299K/3OP1,2
44,JE-CRC301-PDT-030041,C301TW   060003,PT160642-A/B,2
45,JE-CRC301-AE-030009B,C301TE   060003,TPAG-061/IND,2
46,JE-CRC301-TI-130110,C301TT   060003A,C301AE010101C,2
47,JE-CRC301-TI-070022,C301TI   060003A,C301DAS300162,2
48,JE-CRC301-PT-172009,C301TW   060004,C301EV 300805,3
49,JE-CRC301-TI-173010A,C301TE   060004,C301FV   5002,2
50,JE-CRC301-AI-060003BB,C301TT   060004,C301ST173650C,2
51,JE-CRC301-UC-19001,C301TI   060004,301-TT-173009,2
52,JE-CRC301-TT-030155,C301TW   060005,C301T090535BA,5
53,JE-CRC301-TT-030083B,C301TE   060005,C301M160002F1,5
54,JE-CRC301-PG-177076,C301TT   060005,C301FO030642A,2
55,JE-CRC301-TI-130094A,C301TI   060005,FT 300833/IND,2
56,JE-CRC301-EV-190036,C301TW   060006,PT-010402/IND,2
57,JE-CRC301-LI-160025,C301TE   060006,PDT020049/IND,2
58,JE-CRC301-TI-020005AA,C301TT   060006,LT170014B/IND,2
59,JE-CRC301-UC-03001,C301TI   060006,PDT020004/IND,2
60,JE-CRC301-UZ-17312,C301TW   060007,ET-CRC301-014,2
61,JE-CRC301-PG-020141,C301TE   060007,PDT160551-B/C,2
62,JE-CRC301-FV-160005,C301TT   060007,FO190025/4CYL,2
63,JE-CRC301-TI-030166,C301TI   060007,FE120018B/IND,2
64,JE-CRC301-PT-130097,C301TW   060008,FV-040007/1D1,3
65,JE-CRC301-HS-080005B,C301TE   060008,C301DXS 300181,2
66,CRC301-TT-030175,C301TT   060008,C301DMC300019R,5
67,JE-CRC301-PI-080496,C301TI   060008,C301PT   00000,7
68,JE-CRC301-TE-180651B,C301TW   060001,C301PDV  18026,1
69,JE-CRC301-PSV-120106B,C301TE   060001,C301MHSB300938,4
70,JE-CRC301-UC-03002,C301TT   060001,C301PT   03101,2
71,JE-CRC301-PG-080042,C301TI   060001,301-PDT-173060,2
72,JE-CRC301-HS-030021,C301TW   060010,AE130005A/4CYL,2
73,JE-CRC301-TE-120055,C301TE   060010,PT-160055/4CYL,1
74,JE-CRC301-PSV-200050A,C301TT   060010,EC-CRC301-003B,4
75,JE-CRC301-FFIC-120025,C301TI   060010,FO-300952/4CYL,2
76,JE-CRC301-FE-150002,C301TW   060012,FO-300955/3OP1,6
77,JE-CRC301-PT-120113B,C301TE   060012,FE 300831/3OP1,3
78,JE-CRC301-LG-170006,C301TT   060012,FE 300932/4CYL,2
79,JE-CRC301-TE-030504B,C301TI   060012,C301-AT-010207,1
80,JE-CRC301-PI-176002A,C301TW   060013,F0-010271/3OP1,7
81,JE-CRC301-TIC-040028,C301TE   060013,PT-010401C/IND,2
82,JE-CRC301-TT-020005AE,C301TT   060013,PSV 807/2PRVA1,5
83,JE-CRC301-LT-070005B,C301TI   060013,PSV-971/2PRVA1,2
84,JE-CRC301-FI-400153,C301TW   060016,PDG-040005/IND,2
85,JE-CRC301-PIC-180008,C301TE   060016,ME-CRC301-Y003,2
86,JE-CRC301-TG-160032,C301TT   060016,CRC301-F-70024,2
87,JE-CRC301-TT-172044A,C301TI   060016,CRC30-1-F15000,5
88,JE-CRC301-FO-080061,C301PT   060013,CRC301-1-30038,2
89,JE-CRC301-UZ-17020,C301PIC  060013,C301XZSC130011,2
90,JE-CRC301-TE-130024,C301PV   060013,C301HS030004BB,1
91,JE-CRC301-FT-400041,C301PT   060014,C301EHS180001D,2
92,JE-CRC301-LHS-130001,C301PIC  060014,FO171010.75CYL,2
93,JE-CRC301-TE-130084,C301PV   060014,301-TT-300836B,1
94,JE-CRC301-FIF-173006,C301PT   060012A,C301AT   010504,2
95,JE-CRC301-FY-190064,C301PT   060012B,C301AXA  020013,2
96,JE-CRC301-M-150003B,C301PT   060012C,C301BZSLL010131,2
97,JE-CRC301-TI-120013,C301PAHH 060012,C301DAGC 060260,2
98,JE-CRC301-TI-176528B,C301PI   060012A,CRC301-AB0002-B,2
99,JE-CRC301-LIC-170001,C301PI   060012B,301-EHSO-020005,2
100,JE-CRC301-TE-172031,C301PI   060012C,JC301-SPPS-2618,1
101,JE-CRC301-PG-140013,C301PDT  060008,PDT-050035A/IND,2
102,JE-CRC301-LG-080022,C301PDI  060008,FV-050014A/1GL1,2
103,JE-CRC301-PT-180029B,C301PDT  060009,AS23-PDP31A-JB1,3
104,JE-CRC301-TSV-210009,C301PDI  060009,RPMS-SD-J55-131,2
105,JE-CRC301-FV-030018,C301PDT  060010,C301XZSC 173502B,2
106,JE-CRC301-XV-170009,C301PDI  060010,C301ZT   030534B,2
107,JE-CRC301-TE-090501A,C301TW   060002,C301ASL  130005C,1
108,JE-CRC301-FE-020022,C301TE   060002,JWCRC301S100101A,6
109,JE-CRC301-PDT-030018,C301TT   060002A,JC-CRC301-300L01,2
110,JE-CRC301-PDG-040002,C301TI   060002A,CRC301-A-010407A,2
111,JE-CRC301-TE-040077,C301TY   060002,ES-CRC301-001-B7,1
112,JE-CRC301-UZ-09007,C301TDIC 060002,PT-CRC301-090013,2
113,JE-CRC301-LI-120032A,C301AE   060003A,301-XHSC-160018B,2
114,CRC301-UZ-03006,C301AE   060003B,C301XZSO 010105SA,2
115,JE-CRC301-TT-130080B,C301AT   060003A,C301AT   060003AB,5
116,JE-CRC301-LG-160016,C301AI   060003AA,MFEC-CRC301-004PH,2
117,JE-CRC301-THS-190033,C301FE   060001,JWCRC301S100115A ,2
118,JE-CRC301-PT-020089,C301FT   060001,ES-CRC301-001.ABN,3
119,JE-CRC301-PIC-070001,C301FIC  060001,MC-CRC301-M030001,2
120,JE-CRC301-PSV-200059,C301FV   060001,JC-CRC301-010LD15,4
121,JE-CRC301-TE-030033,C301FE   060002,JB-CRC301-A0007-F,1
122,JE-CRC301-XV-030020,C301FT   060002,C301LT 172001/IND,2
123,JE-CRC301-PDG-140020,C301FIC  060002,GS-MC301BAXS1-450,2
124,JE-CRC301-TI-030154,C301FV   060002,PSV-150075/2PRVA1,2
125,JE-CRC301-TT-050007,C301FE   060008,ET-CRC301-011-LCS,5
126,JE-CRC301-FO-090007,C301FT   060008,J55-CRC301-000796,2
127,JE-CRC301-PIC-020153,C301FIC  060008,CRC301-F-O030608A,2
128,JE-CRC301-TI-130123,C301FV   060008,CRC301-T-090534AA,2
129,JE-CRC301-TT-130064A,C301FE   060009,MH-CRC301-M160001,5
130,JE-CRC301-TT-200068B,C301FT   060009,ES-CRC301-004-8FB,5
131,JE-CRC301-PSV-060040,C301FIC  060009,JWCRC301BC00453E1,4
132,JE-CRC301-PT-150086,C301FV   060009,JWCRC301CE0001FFD,3
133,JE-CRC301-PV-175010,C301FE   060010,JB-CRC301-AH3008-E,2
134,JE-CRC301-PSV-200040,C301FT   060010,CPS-MC301CFXM1-401,4
135,JE-CRC301-TI-130119,C301FIC  060010,PSV-090039B/2PRVA1,2
136,JE-CRC301-FV-030031,C301FV   060010,ET-CRC301-010B-LCS,2
137,JE-CRC301-PI-050075,C301XV   060001,C301PSV-160040C/2PRVA1,7
138,JE-CRC301-PDT-030087,C301XY   060001A,C301PSV-030088/2PRVA1,2
139,JE-CRC301-LV-120026,C301XZSO 060001,,2
